title,description,source,published_at,keywords,crisis_category,sentiment_score,sentiment,crisis_severity_score
what iranians are being told about the war,iranian state media's coverage of the war includes inflations of enemy casualties and digital manipulation intended to glorify iran.,BBC News,2026-03-16T00:05:01Z,"['iranian', 'state', 'media', 'coverage', 'war', 'includes', 'inflations', 'enemy', 'casualties', 'digital', 'manipulation', 'intended', 'glorify', 'iran']",war,0.0,neutral,50.0
trump's iran endgame unclear after mixed messaging on war aims,"the us president laid out some of his objectives on monday, but made no mention of what iran's future might look like after the war.",BBC News,2026-03-02T19:16:50Z,"['us', 'president', 'laid', 'objectives', 'monday', 'made', 'mention', 'iran', 'future', 'might', 'look', 'like', 'war']",war,0.0,neutral,50.0
trump administration at crossroads in us-israel war with iran,statements from president trump that the war is almost over are not matching up with the reality on the ground.,BBC News,2026-03-21T22:12:04Z,"['statements', 'president', 'trump', 'war', 'almost', 'matching', 'reality', 'ground']",war,0.0,neutral,50.0
is cuba trump’s next target after iran?,the us president threatens cuba with a “friendly takeover”,BBC News,2026-03-13T13:00:00Z,"['us', 'president', 'threatens', 'cuba', 'friendly', 'takeover']",other,0.375,positive,28.75
nobel economist paul krugman said this surging energy price should 'terrify republicans',paul krugman said a spike in the price of wholesale gasoline futures is bad news for president trump and his party ahead of the midterm elections.,Business Insider,2026-03-06T16:13:34Z,"['paul', 'krugman', 'said', 'spike', 'price', 'wholesale', 'gasoline', 'futures', 'bad', 'news', 'president', 'trump', 'party', 'ahead', 'midterm', 'elections']",other,-0.6999999999999998,negative,45.0
the plague that changed the course of ‘game of thrones’ history,"just a year after the events of 'a knight of the seven kingdoms' season one, westeros' course was changed not by a war but by a terrible sickness.",Gizmodo.com,2026-03-04T21:00:30Z,"['year', 'events', 'knight', 'seven', 'kingdoms', 'season', 'one', 'westeros', 'course', 'changed', 'war', 'terrible', 'sickness']",war,-1.0,negative,100.0
new bill aims to ban prediction market bets on nukes and the oscars,"""there are clearly individuals in the white house who are making money off of when the united states goes to war or not,” sen. murphy said.",Gizmodo.com,2026-03-18T15:45:05Z,"['clearly', 'individuals', 'white', 'house', 'making', 'money', 'united', 'states', 'goes', 'war', 'murphy', 'said']",war,0.05000000000000001,positive,52.5
"three days in, we still have no idea where this war is heading",it's hard to predict how the war will end - but those fighting know how they would like it to.,BBC News,2026-03-02T18:48:02Z,"['hard', 'predict', 'war', 'end', 'fighting', 'know', 'would', 'like']",war,-0.2916666666666667,negative,64.58
is dubai's glossy image under threat? not everyone thinks so,dubai is seen as a safe haven by many ambitious expats and holidaymakers - but the iran war is testing that.,BBC News,2026-03-14T00:02:29Z,"['dubai', 'seen', 'safe', 'many', 'ambitious', 'expats', 'holidaymakers', 'iran', 'war', 'testing']",war,0.4166666666666667,positive,70.83
"'we're at war' - ecuador deploys 75,000 soldiers and police to combat drug gangs","citizens of the most violent-wracked provinces have been warned the government is ""at war"" with the gangs.",BBC News,2026-03-16T11:58:42Z,"['citizens', 'provinces', 'warned', 'government', 'war', 'gangs']",war,0.5,positive,75.0
watch: how fluctuating oil prices are affecting people around the world,the impact of the us and israel's war in iran is starting to hit home - no matter where people live.,BBC News,2026-03-09T23:40:08Z,"['impact', 'us', 'israel', 'war', 'iran', 'starting', 'hit', 'home', 'matter', 'people', 'live']",war,0.06818181818181818,positive,53.41
dow drops 650 points as iran war sends oil prices surging,u.s. crude oil prices soared 9% on friday.,Abcnews.com,2026-03-06T16:00:38Z,"['crude', 'oil', 'prices', 'soared', '9', 'friday']",economy,-0.7,negative,65.0
australia pm heckled at sydney mosque ramadan event,the government's response to the israel-gaza war and rising islamophobia has angered many muslim australians.,BBC News,2026-03-20T01:36:59Z,"['government', 'response', 'war', 'rising', 'islamophobia', 'angered', 'many', 'muslim', 'australians']",war,-0.125,negative,56.25
